iter	RMSE
0	74.67126967
1	73.63994406
2	72.69191722
3	71.66568421
4	70.84136425
5	70.13355626
6	69.33204507
7	68.583223
8	67.88872411
9	67.18881189
10	66.54279351
11	65.95227224
12	65.39737889
13	64.90953567
14	64.41020921
15	64.00183099
16	63.54055076
17	63.07653914
18	62.682051
19	62.26488595
20	61.86409717
21	61.50414445
22	61.18310185
23	60.80059638
24	60.44662387
25	60.14864047
26	59.83569633
27	59.50865663
28	59.25481601
29	58.96333757
30	58.69958559
31	58.47984697
32	58.24854364
33	58.02991419
34	57.88380684
35	57.6771646
36	57.44201197
37	57.19870024
38	57.00058787
39	56.81645358
40	56.60059213
41	56.44515083
42	56.26930401
43	56.10580047
44	55.93698395
45	55.76921603
46	55.64427775
47	55.47582815
48	55.33240819
49	55.15883546
50	54.99721072
51	54.83276524
52	54.68306223
53	54.55221606
54	54.42255572
55	54.27295965
56	54.13196322
57	53.99640313
58	53.8927482
59	53.77781428
60	53.66751897
61	53.54625472
62	53.40126119
63	53.26419466
64	53.15705079
65	53.03339241
66	52.89511068
67	52.77879777
68	52.65919276
69	52.53465027
70	52.44731654
71	52.34271696
72	52.21992588
73	52.09718736
74	51.96884417
75	51.85634542
76	51.76413441
77	51.6615768
78	51.56080877
79	51.45252783
80	51.36113911
81	51.30545606
82	51.15029857
83	51.05698504
84	50.98586792
85	50.90905893
86	50.83871783
87	50.74402107
88	50.68438841
89	50.58738181
90	50.48911248
91	50.41645784
92	50.34129844
93	50.26674514
94	50.18500095
95	50.09292073
96	50.04433823
97	49.99650227
98	49.91614503
99	49.81758027
100	49.73704688
101	49.66237789
102	49.5516684
103	49.47741727
104	49.37395164
105	49.29660027
106	49.22126787
107	49.1532325
108	49.07268479
109	48.98308739
110	48.92690819
111	48.86063755
112	48.77125961
113	48.69216598
114	48.6058059
115	48.48987776
116	48.41462353
117	48.34828935
118	48.29646519
119	48.24777515
120	48.13543254
121	48.05409225
122	48.00560111
123	47.95252878
124	47.86281337
125	47.79235442
126	47.73828577
127	47.62108242
128	47.57477207
129	47.52652069
130	47.46814238
131	47.39919383
132	47.35384468
133	47.28258063
134	47.21573674
135	47.16758255
136	47.11216792
137	47.04181052
138	46.98427595
139	46.90976485
140	46.85429041
141	46.81256634
142	46.76485511
143	46.69908022
144	46.6539131
145	46.60225366
146	46.55081068
147	46.50701924
148	46.4603267
149	46.39282839
150	46.33101886
151	46.26315039
152	46.21710849
153	46.16564637
154	46.10105914
155	46.02128954
156	45.95840714
157	45.90703004
158	45.86448126
159	45.80785093
160	45.75660933
161	45.69262271
162	45.63825053
163	45.57072457
164	45.50026791
165	45.45293533
166	45.40609618
167	45.35611912
168	45.30481024
169	45.22657298
170	45.15363778
171	45.09368891
172	44.97724279
173	44.90988059
174	44.84083306
175	44.77992486
176	44.696139
177	44.64035251
178	44.56223597
179	44.47825836
180	44.41139399
181	44.3619791
182	44.26773775
183	44.19276458
184	44.1361747
185	44.07823916
186	44.00409624
187	43.93316174
188	43.9040259
189	43.84606477
190	43.78715904
191	43.72707064
192	43.65776213
193	43.62288352
194	43.56914968
195	43.4940463
196	43.43797527
197	43.37050134
198	43.2885919
199	43.23302574
200	43.1725209
201	43.07391457
202	43.02470154
203	42.96439329
204	42.86259407
205	42.80136156
206	42.74941321
207	42.67434441
208	42.61216694
209	42.55290667
210	42.49278818
211	42.4284802
212	42.35124289
213	42.28342987
214	42.2274401
215	42.14106452
216	42.06714792
217	41.99953767
218	41.95228316
219	41.89510183
220	41.82836743
221	41.7871168
222	41.74155514
223	41.68307562
224	41.59684838
225	41.55400095
226	41.47421062
227	41.40129538
228	41.37540185
229	41.32088031
230	41.26968263
231	41.20462188
232	41.14399545
233	41.10481727
234	41.03718463
235	40.99324619
236	40.93624993
237	40.85218414
238	40.7813806
239	40.74548764
240	40.69847765
241	40.64917606
242	40.58110427
243	40.49914708
244	40.45347623
245	40.40085286
246	40.37227995
247	40.31649119
248	40.25272444
249	40.18341261
250	40.11477931
251	40.06021624
252	40.01736549
253	39.97281903
254	39.92297493
255	39.86679107
256	39.80398606
257	39.76197218
258	39.70443232
259	39.65493905
260	39.61359102
261	39.5772607
262	39.5333313
263	39.48676266
264	39.45896342
265	39.42586309
266	39.40552956
267	39.34934698
268	39.26444048
269	39.20729311
270	39.15609723
271	39.12789874
272	39.06239592
273	39.01487227
274	38.95213196
275	38.88724984
276	38.83409179
277	38.78481516
278	38.75555692
279	38.69087068
280	38.62362289
281	38.55366466
282	38.49584081
283	38.4653729
284	38.39521247
285	38.32450259
286	38.26315177
287	38.22053744
288	38.16598603
289	38.10667861
290	38.05097346
291	37.99165131
292	37.93206875
293	37.89141562
294	37.83589019
295	37.81282023
296	37.76270355
297	37.69217961
298	37.64315095
299	37.59700569
